;island;Richness;Even
deep1;swash;0.049173759;0.22078043
deep10;swash;0.061513058;0.238019417
deep100;swash;0.060100577;0.238224925
deep11;swash;0.050045112;0.227429776
deep12;swash;0.060165193;0.233123387
deep13;swash;0.057784651;0.242488344
deep14;swash;0.041820531;0.249739447
deep15;swash;0.064391745;0.239907937
deep16;swash;0.044936783;0.247547123
deep17;swash;0.057824141;0.241311316
deep18;swash;0.061801252;0.22981262
deep19;swash;0.053077198;0.242373876
deep2;swash;0.044384089;0.219164055
deep20;swash;0.050999321;0.230984792
deep21;swash;0.056458493;0.246627828
deep22;swash;0.046666832;0.217470339
deep23;swash;0.063329061;0.223708245
deep24;swash;0.059564916;0.243912046
deep25;swash;0.059834993;0.238842487
deep26;swash;0.053492075;0.239201359
deep27;swash;0.052800629;0.246985778
deep28;swash;0.057114039;0.238788938
deep29;swash;0.061480061;0.23552461
deep3;swash;0.059324527;0.248312767
deep30;swash;0.058230956;0.230036381
deep31;swash;0.05889776;0.242677663
deep32;swash;0.06308351;0.233933451
deep33;swash;0.054927407;0.235540089
deep34;swash;0.058378998;0.234271684
deep35;swash;0.055702414;0.22798358
deep36;swash;0.051644935;0.239614999
deep37;swash;0.052804506;0.228103867
deep38;swash;0.062485016;0.222580162
deep39;swash;0.054239099;0.23134981
deep4;swash;0.053945696;0.233629928
deep40;swash;0.059110069;0.239261737
deep41;swash;0.051998935;0.229087677
deep42;swash;0.060477493;0.237130429
deep43;swash;0.05629713;0.219499757
deep44;swash;0.053928704;0.242589502
deep45;swash;0.055104433;0.234363862
deep46;swash;0.063486378;0.239392961
deep47;swash;0.050531976;0.225544606
deep48;swash;0.055562617;0.223813694
deep49;swash;0.05546399;0.217423971
deep5;swash;0.069370551;0.24118681
deep50;swash;0.056829564;0.240568362
deep51;swash;0.056868256;0.236141117
deep52;swash;0.057408142;0.245758086
deep53;swash;0.062273566;0.242562659
deep54;swash;0.070763409;0.246874365
deep55;swash;0.050682912;0.237204317
deep56;swash;0.05588541;0.241624775
deep57;swash;0.056760521;0.237261144
deep58;swash;0.046209978;0.245214542
deep59;swash;0.056420922;0.238943933
deep6;swash;0.057092004;0.23035154
deep60;swash;0.064706603;0.243356089
deep61;swash;0.0621136;0.235061603
deep62;swash;0.045654116;0.230476464
deep63;swash;0.072798643;0.242430634
deep64;swash;0.064755139;0.244277042
deep65;swash;0.065542371;0.243174758
deep66;swash;0.053023508;0.229345094
deep67;swash;0.059042383;0.241435553
deep68;swash;0.069424557;0.240649051
deep69;swash;0.059443566;0.229293674
deep7;swash;0.064560218;0.239219695
deep70;swash;0.063430631;0.237324173
deep71;swash;0.051517985;0.219795647
deep72;swash;0.060388249;0.251537499
deep73;swash;0.053824868;0.246765422
deep74;swash;0.066403281;0.235523928
deep75;swash;0.05415814;0.23345292
deep76;swash;0.060406056;0.24471042
deep77;swash;0.0723372;0.246624948
deep78;swash;0.068364322;0.235002974
deep79;swash;0.049015724;0.2156759
deep8;swash;0.056407401;0.238870752
deep80;swash;0.058476286;0.228591205
deep81;swash;0.064188117;0.225173757
deep82;swash;0.058056405;0.242701068
deep83;swash;0.052466137;0.240812919
deep84;swash;0.066080349;0.248979303
deep85;swash;0.060028224;0.246162266
deep86;swash;0.057383733;0.234143013
deep87;swash;0.041324004;0.241010749
deep88;swash;0.068014381;0.231169307
deep89;swash;0.072327624;0.242066609
deep9;swash;0.056930088;0.230614289
deep90;swash;0.058985383;0.240467578
deep91;swash;0.057781169;0.241642401
deep92;swash;0.048648296;0.239134636
deep93;swash;0.060571699;0.235971188
deep94;swash;0.051781543;0.233127113
deep95;swash;0.052493418;0.22443364
deep96;swash;0.05708889;0.22982615
deep97;swash;0.044187622;0.225580552
deep98;swash;0.058758557;0.244923198
deep99;swash;0.060117278;0.232110205
mid1;mid;0.066814815;0.246841935
mid10;mid;0.057647144;0.22915862
mid100;mid;0.063340405;0.239563451
mid11;mid;0.046876486;0.226303503
mid12;mid;0.047174513;0.228126609
mid13;mid;0.06749178;0.252799731
mid14;mid;0.057403266;0.225433788
mid15;mid;0.054424348;0.232250132
mid16;mid;0.052039467;0.21306009
mid17;mid;0.059773405;0.235217919
mid18;mid;0.051743446;0.233266992
mid19;mid;0.062011155;0.245688946
mid2;mid;0.059719273;0.238880015
mid20;mid;0.051682702;0.230903667
mid21;mid;0.054815588;0.239968503
mid22;mid;0.058046414;0.230324429
mid23;mid;0.049266341;0.233207087
mid24;mid;0.055324607;0.21525376
mid25;mid;0.058048912;0.231901313
mid26;mid;0.063345891;0.240535545
mid27;mid;0.059043055;0.227675345
mid28;mid;0.070642264;0.247633784
mid29;mid;0.051928499;0.22849059
mid3;mid;0.063455557;0.234862585
mid30;mid;0.053244666;0.238442781
mid31;mid;0.059288907;0.244878856
mid32;mid;0.049323026;0.223524054
mid33;mid;0.060925401;0.251482037
mid34;mid;0.074514694;0.244639867
mid35;mid;0.052521162;0.248893266
mid36;mid;0.065127994;0.244000414
mid37;mid;0.06093241;0.232841382
mid38;mid;0.05921636;0.257530327
mid39;mid;0.06614757;0.240294227
mid4;mid;0.05407317;0.227896293
mid40;mid;0.049954738;0.253745
mid41;mid;0.065414798;0.232405528
mid42;mid;0.059883004;0.233932553
mid43;mid;0.049962817;0.217829827
mid44;mid;0.056611661;0.215006078
mid45;mid;0.052743373;0.220494254
mid46;mid;0.059490887;0.238010385
mid47;mid;0.065039891;0.256660511
mid48;mid;0.059068236;0.241225838
mid49;mid;0.061562802;0.243869113
mid5;mid;0.057761154;0.246148302
mid50;mid;0.050738368;0.240378864
mid51;mid;0.057950217;0.230126436
mid52;mid;0.057703443;0.223803306
mid53;mid;0.06795016;0.241365215
mid54;mid;0.064898066;0.237858333
mid55;mid;0.067541036;0.249360061
mid56;mid;0.056420682;0.228771731
mid57;mid;0.060603314;0.248320339
mid58;mid;0.070724951;0.23621134
mid59;mid;0.062362162;0.247689273
mid6;mid;0.065439961;0.247192704
mid60;mid;0.050987103;0.230303278
mid61;mid;0.056638426;0.246762617
mid62;mid;0.048311078;0.218521326
mid63;mid;0.061256725;0.234942906
mid64;mid;0.078997205;0.239374207
mid65;mid;0.061387859;0.239355996
mid66;mid;0.068804917;0.246237024
mid67;mid;0.058815401;0.250271211
mid68;mid;0.059343561;0.230583604
mid69;mid;0.07265693;0.248319936
mid7;mid;0.065549808;0.248166991
mid70;mid;0.068024551;0.250152062
mid71;mid;0.058459418;0.232958839
mid72;mid;0.058736235;0.240289361
mid73;mid;0.057851777;0.235619502
mid74;mid;0.051791767;0.220912249
mid75;mid;0.063694157;0.247634936
mid76;mid;0.056111541;0.238768674
mid77;mid;0.063445069;0.244210686
mid78;mid;0.048910151;0.219623559
mid79;mid;0.062700238;0.24810792
mid8;mid;0.060268688;0.24258583
mid80;mid;0.052599163;0.249701539
mid81;mid;0.051601222;0.24402022
mid82;mid;0.06510654;0.235300498
mid83;mid;0.062705797;0.224029775
mid84;mid;0.073576413;0.243893485
mid85;mid;0.044903009;0.258276741
mid86;mid;0.056459643;0.237105852
mid87;mid;0.052191373;0.2470022
mid88;mid;0.057980184;0.233753839
mid89;mid;0.064893125;0.255626149
mid9;mid;0.063273406;0.221343514
mid90;mid;0.058493533;0.240296643
mid91;mid;0.056618727;0.244730994
mid92;mid;0.076074268;0.248268905
mid93;mid;0.060530531;0.237154714
mid94;mid;0.071425571;0.240242447
mid95;mid;0.06003299;0.230975301
mid96;mid;0.065092004;0.210387289
mid97;mid;0.052012227;0.23333337
mid98;mid;0.067172792;0.24745902
mid99;mid;0.055498862;0.251729364
swash1;deep;0.050819694;0.246723659
swash10;deep;0.086829733;0.263050917
swash100;deep;0.056374359;0.237947929
swash11;deep;0.067467622;0.270922113
swash12;deep;0.066666936;0.261276078
swash13;deep;0.08020874;0.276461634
swash14;deep;0.06459898;0.272357442
swash15;deep;0.072237961;0.263509502
swash16;deep;0.0673828;0.250948125
swash17;deep;0.055872964;0.263818988
swash18;deep;0.065655066;0.253638713
swash19;deep;0.072032712;0.228343586
swash2;deep;0.078942369;0.26819658
