"ID";"BIO1_Mean_Temp";"BIO10_Temp_Warmest_Quarter";"BIO11_Temp_Coldest_Quarter";"BIO12_Annual_Precipitation";"BIO13_Precip_ Wettest_Month";"BIO14_Precip_Driest_Month";"BIO15_Precip_Seasonality";"BIO16_Precip_Wettest Quarter";"BIO17_Precipitation of Driest Quarter";"BIO18_Precipitation of Warmest Quarter";"BIO19_Precipitation of Coldest Quarter";"BIO2_Mean_Diurnal_Range";"BIO3_Isothermality";"BIO4_Temp_Seasonality";"BIO5_Max_Temp_Warmest_Month";"BIO6_Min_Temp_Coldest_Month";"BIO7_Temp_Range";"BIO8_Temp_Wettest_Quarter";"BIO9_Temp_Driest_Quarter"
"st.019";1;16.7087932510121;24.4396319883723;9.93768120449921;517.822742474916;73.8294314381271;13.2508361204013;49.4825482448208;209.468227424749;50.1973244147157;52.1438127090301;172.963210702341;7.81608139950296;32.7905641447342;605.488414139253;29.9401339655337;6.11337789165535;23.8267559319436;14.1624304060155;22.0429208749114
"st.020";2;16.7087932510121;24.4396319883723;9.93768120449921;517.822742474916;73.8294314381271;13.2508361204013;49.4825482448208;209.468227424749;50.1973244147157;52.1438127090301;172.963210702341;7.81608139950296;32.7905641447342;605.488414139253;29.9401339655337;6.11337789165535;23.8267559319436;14.1624304060155;22.0429208749114
"st.021";3;16.7087932510121;24.4396319883723;9.93768120449921;517.822742474916;73.8294314381271;13.2508361204013;49.4825482448208;209.468227424749;50.1973244147157;52.1438127090301;172.963210702341;7.81608139950296;32.7905641447342;605.488414139253;29.9401339655337;6.11337789165535;23.8267559319436;14.1624304060155;22.0429208749114
"st.022";4;16.7383082526982;24.4648270941897;9.97095881178227;519.66889632107;74.3913043478261;13.1538461538462;49.7791040605526;210.695652173913;49.9498327759197;52.0167224080268;173.759197324415;7.79528988803111;32.7378269693126;605.276217355377;29.9591974877195;6.15819393113305;23.8010033955143;14.1939800319863;22.067391303072
"st.023";5;16.7383082526982;24.4648270941897;9.97095881178227;519.66889632107;74.3913043478261;13.1538461538462;49.7791040605526;210.695652173913;49.9498327759197;52.0167224080268;173.759197324415;7.79528988803111;32.7378269693126;605.276217355377;29.9591974877195;6.15819393113305;23.8010033955143;14.1939800319863;22.067391303072
"st.024";6;16.7383082526982;24.4648270941897;9.97095881178227;519.66889632107;74.3913043478261;13.1538461538462;49.7791040605526;210.695652173913;49.9498327759197;52.0167224080268;173.759197324415;7.79528988803111;32.7378269693126;605.276217355377;29.9591974877195;6.15819393113305;23.8010033955143;14.1939800319863;22.067391303072
"st.025";7;16.7693333088268;24.4848483761874;10.0112727876143;521.869090909091;75.2181818181818;12.9709090909091;50.3398007618297;212.650909090909;49.4036363636364;51.64;174.96;7.73854549581354;32.5752218281139;604.674361905185;29.962909192172;6.21890901565552;23.7439999667081;14.2363637265292;22.0822423900257
"st.026";8;16.7693333088268;24.4848483761874;10.0112727876143;521.869090909091;75.2181818181818;12.9709090909091;50.3398007618297;212.650909090909;49.4036363636364;51.64;174.96;7.73854549581354;32.5752218281139;604.674361905185;29.962909192172;6.21890901565552;23.7439999667081;14.2363637265292;22.0822423900257
"st.027";9;16.7693333088268;24.4848483761874;10.0112727876143;521.869090909091;75.2181818181818;12.9709090909091;50.3398007618297;212.650909090909;49.4036363636364;51.64;174.96;7.73854549581354;32.5752218281139;604.674361905185;29.962909192172;6.21890901565552;23.7439999667081;14.2363637265292;22.0822423900257
"st.028";10;19.3505207896233;25.7734376192093;13.8088541924953;317.90625;58.40625;1;77.9033935070038;164.4375;6.96875;21.84375;102;4.52447915077209;25.4670987725258;492.147308349609;29.2281250357628;11.4656250178814;17.7624999284744;18.6630209088326;24.9166666269302
"st.029";11;19.3505207896233;25.7734376192093;13.8088541924953;317.90625;58.40625;1;77.9033935070038;164.4375;6.96875;21.84375;102;4.52447915077209;25.4670987725258;492.147308349609;29.2281250357628;11.4656250178814;17.7624999284744;18.6630209088326;24.9166666269302
"st.030";12;19.3505207896233;25.7734376192093;13.8088541924953;317.90625;58.40625;1;77.9033935070038;164.4375;6.96875;21.84375;102;4.52447915077209;25.4670987725258;492.147308349609;29.2281250357628;11.4656250178814;17.7624999284744;18.6630209088326;24.9166666269302
"st.031";13;17.869827504359;24.8698595200462;11.8605363853133;471.425287356322;87.992337164751;2.0536398467433;75.9459046988652;234.452107279693;16.1072796934866;47.9463601532567;149.808429118774;7.99865897131149;35.5613458275338;544.284696264742;30.2429119709351;7.75249046566843;22.4904214924779;16.1725415087294;24.498850614175
