code;salinity_avg;salinity_max;salinity_min;temperature_avg;temperature_max;temperature_min;oxygen_avg;oxygen_max;oxygen_min;pprod_avg;pprod_max;pprod_min;ph_avg;ph_max;ph_min;alcalinity_avg;alcalinity_max;alcalinity_min;disolvC_avg;disolvC_max;disolvC_min;nitrate_avg;nitrate_max;nitrate_min;phosphate_avg;phosphate_max;phosphate_min;silicate_avg;silicate_max;silicate_min;ammonium_avg;ammonium_max;ammonium_min;zoopla_avg;zoopla_max;zoopla_min;chloroph_avg;chloroph_max;chloroph_min;phytopl_avg;phytopl_max;phytopl_min;northward_avg;northward_max;northward_min;easteward_avg;easteward_max;easteward_min
st.019;38.92179255;39.13926043;38.67997851;19.87956834;28.35123852;14.03410108;230.1758559;247.4686345;208.1400757;9.593708118;17.08843885;5.172106334;8.075335128;8.1472138;7.966852188;2.722914264;2.74479866;2.709703003;2.379736236;2.383792468;2.373793602;0.832700851;1.324706044;0.296745969;0.016056325;0.044440211;0.004996055;2.902213231;3.442333562;2.548343488;0.142938068;0.205817736;0.053886631;0.672353555;1.629999144;0.086926707;0.161860423;0.288807218;0.065569159;0.609581276;1.391471045;0.248869366;-0.000868582;0.035934248;-0.03658539;0.002509693;0.030355935;-0.02364593
st.020;38.92179255;39.13926043;38.67997851;19.87956834;28.35123852;14.03410108;230.1758559;247.4686345;208.1400757;9.593708118;17.08843885;5.172106334;8.075335128;8.1472138;7.966852188;2.722914264;2.74479866;2.709703003;2.379736236;2.383792468;2.373793602;0.832700851;1.324706044;0.296745969;0.016056325;0.044440211;0.004996055;2.902213231;3.442333562;2.548343488;0.142938068;0.205817736;0.053886631;0.672353555;1.629999144;0.086926707;0.161860423;0.288807218;0.065569159;0.609581276;1.391471045;0.248869366;-0.000868582;0.035934248;-0.03658539;0.002509693;0.030355935;-0.02364593
st.021;38.92179255;39.13926043;38.67997851;19.87956834;28.35123852;14.03410108;230.1758559;247.4686345;208.1400757;9.593708118;17.08843885;5.172106334;8.075335128;8.1472138;7.966852188;2.722914264;2.74479866;2.709703003;2.379736236;2.383792468;2.373793602;0.832700851;1.324706044;0.296745969;0.016056325;0.044440211;0.004996055;2.902213231;3.442333562;2.548343488;0.142938068;0.205817736;0.053886631;0.672353555;1.629999144;0.086926707;0.161860423;0.288807218;0.065569159;0.609581276;1.391471045;0.248869366;-0.000868582;0.035934248;-0.03658539;0.002509693;0.030355935;-0.02364593
st.022;38.9212842;39.13389826;38.68060732;19.88485191;28.33281636;14.05169153;230.0982732;247.3422127;208.0000324;9.554620159;16.99430156;5.171790302;8.075202319;8.146760464;7.967219114;2.722936547;2.744815052;2.709810942;2.379778405;2.38377291;2.373832047;0.835612668;1.331097662;0.300045561;0.016156355;0.044682052;0.004992752;2.902802518;3.444994718;2.548212916;0.143263304;0.206538484;0.054195522;0.670747479;1.627499357;0.086667581;0.16115044;0.28797609;0.065441511;0.605531479;1.38370125;0.24841495;-0.000711281;0.037042073;-0.036436334;0.002604491;0.030547204;-0.025324913
st.023;38.9212842;39.13389826;38.68060732;19.88485191;28.33281636;14.05169153;230.0982732;247.3422127;208.0000324;9.554620159;16.99430156;5.171790302;8.075202319;8.146760464;7.967219114;2.722936547;2.744815052;2.709810942;2.379778405;2.38377291;2.373832047;0.835612668;1.331097662;0.300045561;0.016156355;0.044682052;0.004992752;2.902802518;3.444994718;2.548212916;0.143263304;0.206538484;0.054195522;0.670747479;1.627499357;0.086667581;0.16115044;0.28797609;0.065441511;0.605531479;1.38370125;0.24841495;-0.000711281;0.037042073;-0.036436334;0.002604491;0.030547204;-0.025324913
st.024;38.9212842;39.13389826;38.68060732;19.88485191;28.33281636;14.05169153;230.0982732;247.3422127;208.0000324;9.554620159;16.99430156;5.171790302;8.075202319;8.146760464;7.967219114;2.722936547;2.744815052;2.709810942;2.379778405;2.38377291;2.373832047;0.835612668;1.331097662;0.300045561;0.016156355;0.044682052;0.004992752;2.902802518;3.444994718;2.548212916;0.143263304;0.206538484;0.054195522;0.670747479;1.627499357;0.086667581;0.16115044;0.28797609;0.065441511;0.605531479;1.38370125;0.24841495;-0.000711281;0.037042073;-0.036436334;0.002604491;0.030547204;-0.025324913
st.025;38.92089752;39.13815753;38.67663002;19.87784832;28.35912832;14.02457778;230.170381;247.3310572;207.9611588;9.613315804;17.02032471;5.224315723;8.075373948;8.147512595;7.966800213;2.723017305;2.744978984;2.709854484;2.379815827;2.383830547;2.373988907;0.831585511;1.31282262;0.301530123;0.015902249;0.043463041;0.004994614;2.902357593;3.443695267;2.54586641;0.142848353;0.205688886;0.05389787;0.671386089;1.623488148;0.090265372;0.16259625;0.288176179;0.066117786;0.610736042;1.384425958;0.249988648;-0.00188459;0.032652305;-0.039297458;0.002701039;0.027644626;-0.023106217
st.026;38.92089752;39.13815753;38.67663002;19.87784832;28.35912832;14.02457778;230.170381;247.3310572;207.9611588;9.613315804;17.02032471;5.224315723;8.075373948;8.147512595;7.966800213;2.723017305;2.744978984;2.709854484;2.379815827;2.383830547;2.373988907;0.831585511;1.31282262;0.301530123;0.015902249;0.043463041;0.004994614;2.902357593;3.443695267;2.54586641;0.142848353;0.205688886;0.05389787;0.671386089;1.623488148;0.090265372;0.16259625;0.288176179;0.066117786;0.610736042;1.384425958;0.249988648;-0.00188459;0.032652305;-0.039297458;0.002701039;0.027644626;-0.023106217
st.027;38.92089752;39.13815753;38.67663002;19.87784832;28.35912832;14.02457778;230.170381;247.3310572;207.9611588;9.613315804;17.02032471;5.224315723;8.075373948;8.147512595;7.966800213;2.723017305;2.744978984;2.709854484;2.379815827;2.383830547;2.373988907;0.831585511;1.31282262;0.301530123;0.015902249;0.043463041;0.004994614;2.902357593;3.443695267;2.54586641;0.142848353;0.205688886;0.05389787;0.671386089;1.623488148;0.090265372;0.16259625;0.288176179;0.066117786;0.610736042;1.384425958;0.249988648;-0.00188459;0.032652305;-0.039297458;0.002701039;0.027644626;-0.023106217
st.028;37.66946692;38.0257612;37.3574889;21.03420947;28.73815155;14.87253536;225.9961707;249.6722074;200.1557857;6.261151181;9.669070039;3.719653845;8.043372882;8.115892478;7.947150264;2.652665695;2.71118222;2.633373652;2.333065376;2.354419112;2.316761102;0.361926469;1.12715854;0.027653762;0.020262053;0.067054148;0.007106075;2.085132585;2.435392942;1.690718634;0.10741911;0.217583491;0.034083119;0.738510258;1.273803481;0.379191503;0.090784099;0.201923359;0.036159771;0.348416767;0.763835669;0.143251662;-0.020212968;0.036289498;-0.066249515;0.028702224;0.109464117;-0.018976657
st.029;37.66946692;38.0257612;37.3574889;21.03420947;28.73815155;14.87253536;225.9961707;249.6722074;200.1557857;6.261151181;9.669070039;3.719653845;8.043372882;8.115892478;7.947150264;2.652665695;2.71118222;2.633373652;2.333065376;2.354419112;2.316761102;0.361926469;1.12715854;0.027653762;0.020262053;0.067054148;0.007106075;2.085132585;2.435392942;1.690718634;0.10741911;0.217583491;0.034083119;0.738510258;1.273803481;0.379191503;0.090784099;0.201923359;0.036159771;0.348416767;0.763835669;0.143251662;-0.020212968;0.036289498;-0.066249515;0.028702224;0.109464117;-0.018976657
st.030;37.66946692;38.0257612;37.3574889;21.03420947;28.73815155;14.87253536;225.9961707;249.6722074;200.1557857;6.261151181;9.669070039;3.719653845;8.043372882;8.115892478;7.947150264;2.652665695;2.71118222;2.633373652;2.333065376;2.354419112;2.316761102;0.361926469;1.12715854;0.027653762;0.020262053;0.067054148;0.007106075;2.085132585;2.435392942;1.690718634;0.10741911;0.217583491;0.034083119;0.738510258;1.273803481;0.379191503;0.090784099;0.201923359;0.036159771;0.348416767;0.763835669;0.143251662;-0.020212968;0.036289498;-0.066249515;0.028702224;0.109464117;-0.018976657
st.031;38.63589117;39.01788584;38.2784;20.31857534;27.8356656;14.45073954;228.9810558;247.9206373;207.365999;8.388516463;14.29781511;3.755627341;8.063358645;8.138490465;7.961930699;2.704397749;2.733509567;2.673815462;2.367310382;2.380439785;2.353358534;0.536255689;1.265839246;0.129175893;0.014344291;0.040334178;0.006637673;2.567223977;3.035615153;2.227690538;0.124770374;0.167481328;0.092113192;0.896816024;1.88775456;0.230294784;0.114418471;0.24671685;0.044558806;0.488455882;1.205560247;0.205944669;-0.006218773;0.038669905;-0.039961285;0.001379565;0.021830127;-0.01347314
st.032;38.63589117;39.01788584;38.2784;20.31857534;27.8356656;14.45073954;228.9810558;247.9206373;207.365999;8.388516463;14.29781511;3.755627341;8.063358645;8.138490465;7.961930699;2.704397749;2.733509567;2.673815462;2.367310382;2.380439785;2.353358534;0.536255689;1.265839246;0.129175893;0.014344291;0.040334178;0.006637673;2.567223977;3.035615153;2.227690538;0.124770374;0.167481328;0.092113192;0.896816024;1.88775456;0.230294784;0.114418471;0.24671685;0.044558806;0.488455882;1.205560247;0.205944669;-0.006218773;0.038669905;-0.039961285;0.001379565;0.021830127;-0.01347314
