beach;latitude;longitude;Region;pie.y;pie.x
Benajarafe;36.7163641;-4.1737651;Andalucia;37.405;-4.548
Castrocucco;39.9335722;15.7502362;Calabria;39.741;14.832
Isola_di_Dino;39.8712482;15.7876172;Calabria;39.749;15.591
Diamante;39.6647422;15.8333652;Calabria;39.036;15.645
Amantea;39.1003182;16.0787922;Calabria;38.454;16.996
Meta_Sorrento;40.6474521;14.4074311;Campania;40.179;14.172
Torre_Picentina;40.6311422;14.8334362;Campania;41.303;14.832
Paestum;40.4372252;14.9743992;Campania;40.672;15.711
Castelldefels;41.2638241;1.9616691;Catalunya;40.772;1.428
Blanes;41.6719511;2.7914591;Catalunya;40.789;2.736
Empuria_Brava;42.2481411;3.1355071;Catalunya;42.001;1.703
Colera;42.4046151;3.1569731;Catalunya;43.293;-0.439
L'Estartit;42.0477931;3.1986251;Catalunya;40.931;4.713
Garrucha;37.1781891;-1.82093511;Communidad_Valenciana;37.927;-2.856
Santa_Pola;38.1904891;-0.5765461;Communidad_Valenciana;38.874;-2.087
Alicante;38.3472681;-0.4742841;Communidad_Valenciana;37.239;-0.121
Puig_Playa;39.5846491;-0.2720991;Communidad_Valenciana;39.927;-1.956
Cullera;39.1713011;-0.2388591;Communidad_Valenciana;39.232;0.505
Oliva;38.9093421;-0.0676111;Communidad_Valenciana;37.996;0.637
Pirulì;40.0155111;0.0386691;Communidad_Valenciana;40.597;-1.758
Torre_Nostra;40.1911841;0.2205991;Communidad_Valenciana;40.797;-1.121
Benicarlò;40.4069961;0.4247811;Communidad_Valenciana;40.681;-0.374
Hospitalet_de_Infant;40.9853511;0.9123891;Communidad_Valenciana;41.426;0.022
Occelluccia;42.5719951;8.7262081;Corse;43.485;9.108
Alga_plage;42.5617311;8.7277641;Corse;42.964;8.525
Calvi;42.5612131;8.7577621;Corse;43.517;8.558
Propriano;41.6848711;8.9162361;Corse;41.992;8.174
Balistro;41.4381721;9.2228121;Corse;42.204;7.394
Santa_Amanza;41.4160671;9.2368311;Corse;42.723;7.943
Rondinara;41.4659131;9.2676891;Corse;41.599;10.327
Santa_Giulia;41.5256491;9.2719931;Corse;42.082;9.734
Ficareto;42.4157031;9.5405031;Corse;43.421;9.855
Cervione;42.3212461;9.5478491;Corse;42.618;10.239
Ansedonia;42.4081322;11.2970582;Lazio;42.181;11.008
Santa_Severa;42.0212612;11.9481352;Lazio;41.763;11.689
Marina_di_Latina;41.4148732;12.8263162;Lazio;42.472;13.151
Terracina;41.2828262;13.2087992;Lazio;41.886;13.898
Gaeta;41.2373182;13.4844262;Lazio;42.139;15.414
Formia;41.2487422;13.5888722;Lazio;42.561;14.634
Ventimiglia;43.7884241;7.6034311;Liguria;43.937;7.581
