code;marco.name;name;level;Country;Region;Mediterranean_Region;mean;sorting;skewness;kurtosis;comment.gran;latitude;longitude;Length;Orientation;Town;Harbour;richness
st.019;Porto Cesareo (Hotel Blu) swash;Porto_Cesareo_Hotel_Blu;swash;ITA;Puglia;Ionian;375;;;;estimated;40.2696621;17.8825891;0.48;SW;YES;NO;2
st.020;Porto Cesareo (Hotel Blu) mid;Porto_Cesareo_Hotel_Blu;mid;ITA;Puglia;Ionian;375;;;;estimated;40.2696622;17.8825892;0.48;SW;YES;NO;4
st.021;Porto Cesareo (Hotel Blu) deep;Porto_Cesareo_Hotel_Blu;deep;ITA;Puglia;Ionian;375;;;;estimated;40.2696623;17.8825893;0.48;SW;YES;NO;4
st.022;Porto Cesareo (Strea) swash;Porto_Cesareo_Strea;swash;ITA;Puglia;Ionian;750;;;;estimated;40.2594841;17.8971651;0.34;SW;YES;NO;2
st.023;Porto Cesareo (Strea) mid;Porto_Cesareo_Strea;mid;ITA;Puglia;Ionian;375;;;;estimated;40.2594842;17.8971652;0.34;SW;YES;NO;5
st.024;Porto Cesareo (Strea) deep;Porto_Cesareo_Strea;deep;ITA;Puglia;Ionian;187;;;;estimated;40.2594843;17.8971653;0.34;SW;YES;NO;3
st.025;Porto Cesareo (T. Scianuli) swash;Porto_Cesareo_T._Scianuli;swash;ITA;Puglia;Ionian;375;;;;estimated;40.2383811;17.9092941;0.04;SW;NO;NO;2
st.026;Porto Cesareo (T. Scianuli) mid;Porto_Cesareo_T._Scianuli;mid;ITA;Puglia;Ionian;375;;;;estimated;40.2383822;17.9092942;0.04;SW;NO;NO;3
st.027;Porto Cesareo (T. Scianuli) deep;Porto_Cesareo_T._Scianuli;deep;ITA;Puglia;Ionian;187;;;;estimated;40.2383833;17.9092943;0.04;SW;NO;NO;6
st.028;Lampedusa swash;Lampedusa;swash;ITA;Sicilia;Western Mediterranean;375;;;;estimated;35.5015131;12.5933311;0.05;S;NO;NO;2
st.029;Lampedusa mid;Lampedusa;mid;ITA;Sicilia;Western Mediterranean;375;;;;estimated;35.5015132;12.5933312;0.05;S;NO;NO;4
st.030;Lampedusa deep;Lampedusa;deep;ITA;Sicilia;Western Mediterranean;375;;;;estimated;35.5015133;12.5933313;0.05;S;NO;NO;5
st.031;Eloro swash;Eloro;swash;ITA;Sicilia;Tunisian_plateau;375;;;;estimated;36.8395041;15.1071271;0.37;W;NO;NO;3
st.032;Eloro mid;Eloro;mid;ITA;Sicilia;Tunisian_plateau;375;;;;estimated;36.8395042;15.1071272;0.37;W;NO;NO;6
st.033;Eloro deep;Eloro;deep;ITA;Sicilia;Tunisian_plateau;187;;;;estimated;36.8395043;15.1071273;0.37;W;NO;NO;3
st.034;Playa Catania swash;Playa_Catania;swash;ITA;Sicilia;Tunisian_plateau;375;;;;estimated;37.4822691;15.0863451;9.1;W;YES;YES;2
st.035;Playa Catania mid;Playa_Catania;mid;ITA;Sicilia;Tunisian_plateau;375;;;;estimated;37.4822692;15.0863452;9.1;W;YES;YES;4
st.036;Playa Catania deep;Playa_Catania;deep;ITA;Sicilia;Tunisian_plateau;187;;;;estimated;37.4822693;15.0863453;9.1;W;YES;YES;7
