long_name;species;length;length.exp;width;width.exp;adhesiveness;adhesiveness.exp;pharynx;pharynx.exp;brain_capsule;brain_capsule.exp;shape;shape.exp;cephalic_sensory_area;cephalic_sensory_area.exp;eyes;eyes.exp;body_pigmentation;body_pigmentation.exp;statocyst;statocyst.exp;ciliation;ciliation.exp;compulatory_organ;copulatory_organ.exp;penis;penis.exp;accessory_spiny_organs;accessory_spiny_organs.exp;Family;Genera
Archilina_Colera;Arch.001;1.08;mm;0.19;mm;2;pointed, adhesive;1;tubular;0;absent;1;cylindrical;0;absent;0;unpigmented;0;absent;1;present;0;entire body;6;spiny cirrus;2;cirrus;0;absent;Monocelididae;Archilina
Archilina_ctenophora;Arch.002;0.62;mm;0.08;mm;2;pointed, adhesive;1;tubular;0;absent;1;cylindrical;0;absent;0;unpigmented;0;absent;1;present;0;entire body;6;spiny cirrus;2;cirrus;0;absent;Monocelididae;Archilina
Archilina_dubia_Sicilia;Arch.003;1.08;mm;0.19;mm;2;pointed, adhesive;1;tubular;0;absent;1;cylindrical;0;absent;0;unpigmented;0;absent;1;present;0;entire body;6;spiny cirrus;2;cirrus;0;absent;Monocelididae;Archilina
Archilina_etruscoides;Arch.004;1.53;mm;0.14;mm;2;pointed, adhesive;1;tubular;0;absent;1;cylindrical;0;absent;0;unpigmented;0;absent;1;present;0;entire body;6;spiny cirrus;2;cirrus;0;absent;Monocelididae;Archilina
Archilina_extraspinosa;Arch.005;0.76;mm;0.13;mm;2;pointed, adhesive;1;tubular;0;absent;1;cylindrical;0;absent;0;unpigmented;0;absent;1;present;0;entire body;6;spiny cirrus;2;cirrus;0;absent;Monocelididae;Archilina
Archilina_megaspina_Tavolara;Arch.006;0.62;mm;0.08;mm;2;pointed, adhesive;1;tubular;0;absent;1;cylindrical;0;absent;0;unpigmented;0;absent;1;present;0;entire body;6;spiny cirrus;2;cirrus;0;absent;Monocelididae;Archilina
Archilina_microdeceptoria;Arch.007;0.62;mm;0.08;mm;2;pointed, adhesive;1;tubular;0;absent;1;cylindrical;0;absent;0;unpigmented;0;absent;1;present;0;entire body;6;spiny cirrus;2;cirrus;0;absent;Monocelididae;Archilina
Archilina_nova_paestum;Arch.008;1.08;mm;0.19;mm;2;pointed, adhesive;1;tubular;0;absent;1;cylindrical;0;absent;0;unpigmented;0;absent;1;present;0;entire body;6;spiny cirrus;2;cirrus;0;absent;Monocelididae;Archilina
Archilina_porto_Scuso;Arch.009;0.62;mm;0.08;mm;2;pointed, adhesive;1;tubular;0;absent;1;cylindrical;0;absent;0;unpigmented;0;absent;1;present;0;entire body;6;spiny cirrus;2;cirrus;0;absent;Monocelididae;Archilina
Archilina_Principina;Arch.010;1.08;mm;0.19;mm;2;pointed, adhesive;1;tubular;0;absent;1;cylindrical;0;absent;0;unpigmented;0;absent;1;present;0;entire body;6;spiny cirrus;2;cirrus;0;absent;Monocelididae;Archilina
